Tname tGapStart tGapSize Samples
OsjChr12 9526874 200 YB5;
OsjChr12 9527084 5 YB5;
OsjChr12 9530443 95 YB3;
OsjChr12 9530719 83 YB7;YB8;
OsjChr12 9530766 36 YB3;
OsjChr12 9530768 34 YB6;
OsjChr12 9530770 32 YB4;
OsjChr12 9530784 18 YB2;
OsjChr12 953754 7 YB5;
OsjChr12 9571224 31 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr12 9572903 22 YB2;YB3;YB5;YB6;YB8;
OsjChr12 9572903 24 YB7;
OsjChr1 29575710 8 YB6;
OsjChr1 29577945 116 YB8;
OsjChr12 959407 8 YB4;
OsjChr1 29601204 221 YB8;
OsjChr1 29605963 154 YB6;
OsjChr12 9612559 21 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 2961266 6 YB5;
OsjChr1 29616339 20 YB7;
OsjChr1 29624153 15 YB5;
OsjChr1 29624185 1614 YB5;
OsjChr12 96341 8 YB5;
OsjChr1 29650277 197 YB1;
OsjChr12 9674509 184 YB5;
OsjChr12 968438 6 YB8;
OsjChr1 29684784 2958 YB5;YB6;YB7;
OsjChr1 29690919 318 YB4;
OsjChr1 29706459 19 YB4;
OsjChr1 29706504 8 YB4;
OsjChr12 9713827 344 YB5;
OsjChr1 2972296 57 YB3;YB6;
OsjChr1 2972434 34 YB3;YB6;
OsjChr1 2972906 22 YB3;
OsjChr1 29734877 153 YB2;
OsjChr12 9743667 6 YB6;
OsjChr1 2977112 251 YB4;
OsjChr1 297917 155 YB2;
OsjChr12 9802680 25 YB3;YB5;
OsjChr12 9816396 313 YB2;
OsjChr12 9816468 313 YB1;
OsjChr1 2984017 32 YB8;
OsjChr12 9858973 292 YB4;
OsjChr12 9862003 14 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr12 9869092 150 YB3;
OsjChr1 29917082 104 YB8;
OsjChr1 29917082 153 YB7;
OsjChr1 29921028 27 YB4;
OsjChr12 9930388 449 YB3;
OsjChr1 29931274 9 YB6;YB8;
OsjChr1 29931513 433 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr12 9951101 433 YB2;YB3;YB4;YB4;YB5;YB6;YB7;YB8;
OsjChr12 995308 425 YB5;
OsjChr12 995852 5 YB5;
OsjChr1 29960214 67 YB3;YB4;YB8;
OsjChr1 29973106 6 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr12 9990317 7 YB3;YB6;
OsjChr1 30001620 5 YB3;
OsjChr1 30001637 5 YB7;
OsjChr1 30004052 137 YB1;
OsjChr1 30008330 139 YB5;
OsjChr1 30016446 137 YB3;
OsjChr1 30023813 5 YB7;
OsjChr1 3005272 6 YB3;YB6;
OsjChr1 3005786 9 YB2;YB3;YB6;YB8;
OsjChr1 30072227 72 YB3;
OsjChr1 30072607 389 YB4;
OsjChr1 3007417 125 YB2;YB3;YB5;YB6;YB8;
OsjChr1 3007630 4720 YB2;YB3;YB5;YB6;YB8;
OsjChr1 30089082 479 YB5;
OsjChr1 30089147 414 YB8;
OsjChr1 30103002 138 YB8;
OsjChr1 3012732 14 YB5;
OsjChr1 30131613 46 YB6;
OsjChr1 30138575 481 YB6;
OsjChr1 30140587 45 YB2;
OsjChr1 30140871 7 YB8;
OsjChr1 30143011 33 YB1;
OsjChr1 30143076 8 YB1;
OsjChr1 30148736 480 YB5;
OsjChr1 30168991 8 YB8;
OsjChr1 3017097 12 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 3019573 7 YB6;
OsjChr1 3020391 4774 YB5;YB6;
OsjChr1 30214172 6 YB2;
OsjChr1 30237596 107 YB1;
OsjChr1 3024057 4206 YB2;YB4;
OsjChr1 3026399 12 YB2;YB3;YB4;YB5;YB6;YB8;
OsjChr1 3026947 624 YB3;YB4;
OsjChr1 30276144 79 YB5;
OsjChr1 3028246 16 YB6;
OsjChr1 30305846 332 YB6;
OsjChr1 3033438 29 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 3034047 17 YB4;
OsjChr1 3034048 17 YB2;YB2;YB3;YB3;YB5;YB6;YB7;YB8;
OsjChr1 3034062 17 YB4;
OsjChr1 3037911 161 YB2;YB5;
OsjChr1 30403314 6 YB2;YB3;
OsjChr1 30455440 47 YB1;
OsjChr1 30509448 37 YB4;
OsjChr1 30518156 434 YB1;
OsjChr1 30528457 338 YB7;
OsjChr1 30528747 63 YB4;
OsjChr1 30548598 130 YB5;
OsjChr1 3057393 29 YB2;YB3;YB4;YB5;YB6;YB7;
OsjChr1 3057978 110 YB3;YB5;YB6;
OsjChr1 30586356 6 YB2;
OsjChr1 30586372 9 YB2;
OsjChr1 30614848 65 YB4;
OsjChr1 30627590 10 YB2;YB3;YB4;
OsjChr1 30634776 3989 YB5;
OsjChr1 30635084 12 YB1;YB3;YB7;YB8;
OsjChr1 30637084 13 YB5;
OsjChr1 30638455 10 YB1;YB3;YB5;
OsjChr1 30656560 15 YB7;
OsjChr1 3066211 13 YB3;YB5;YB6;YB8;
OsjChr1 3066811 8 YB3;YB5;YB8;
OsjChr1 3066841 35 YB3;YB5;YB8;
OsjChr1 30670656 7 YB2;
OsjChr1 30707995 384 YB6;
OsjChr1 30712321 308 YB6;
OsjChr1 30723907 122 YB5;
OsjChr1 30724596 100 YB8;
OsjChr1 30731426 303 YB4;
OsjChr1 30782433 28 YB4;
OsjChr1 30809710 251 YB3;
OsjChr1 3083645 8 YB6;
OsjChr1 3084515 9 YB6;
OsjChr1 30848800 136 YB7;
OsjChr1 30849745 12 YB1;YB2;
OsjChr1 30889408 173 YB8;
OsjChr1 30945790 563 YB6;
OsjChr1 3098273 135 YB5;
OsjChr1 30990248 70 YB7;
OsjChr1 30998727 441 YB4;
OsjChr1 31006084 464 YB2;
OsjChr1 31049068 6 YB8;
OsjChr1 31089910 5 YB7;
OsjChr1 31108615 277 YB2;
OsjChr1 31122737 28 YB2;YB7;
OsjChr1 3112534 358 YB8;
OsjChr1 3112535 357 YB4;YB7;
OsjChr1 31126750 8 YB6;
OsjChr1 31139146 13 YB8;
OsjChr1 31146973 4149 YB2;
OsjChr1 31180652 404 YB5;
OsjChr1 31213648 379 YB4;
OsjChr1 3123202 468 YB2;
OsjChr1 3123207 459 YB5;
OsjChr1 31234838 5 YB5;
OsjChr1 3124511 20 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 31280126 124 YB4;
OsjChr1 31281243 92 YB7;
OsjChr1 31282660 25 YB5;
OsjChr1 3130820 287 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 31312778 45 YB7;
OsjChr1 31318733 227 YB5;
OsjChr1 31358222 342 YB3;
OsjChr1 31383312 397 YB5;
OsjChr1 3138414 20 YB3;YB4;
OsjChr1 3138562 243 YB3;YB4;
OsjChr1 3138904 243 YB3;YB4;
OsjChr1 3139490 16 YB3;YB4;
OsjChr1 31396130 56 YB1;
OsjChr1 3140273 6 YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 3140465 224 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 3142817 23 YB2;YB3;YB4;
OsjChr1 31479176 446 YB7;
OsjChr1 31486504 60 YB8;
OsjChr1 31564998 28 YB2;
OsjChr1 31575521 191 YB8;
OsjChr1 31614427 325 YB2;YB5;
OsjChr1 31614908 227 YB8;
OsjChr1 31616175 352 YB6;
OsjChr1 31672001 4069 YB6;
OsjChr1 31676345 11 YB6;
OsjChr1 31693605 237 YB8;
OsjChr1 3175036 8 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 3175419 868 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 31754775 304 YB2;
OsjChr1 3176661 9 YB7;
OsjChr1 3181026 48 YB2;YB3;YB4;YB5;YB6;YB7;YB8;YB8;
OsjChr1 31815007 12 YB7;
OsjChr1 31856964 127 YB4;
OsjChr1 3188653 76 YB1;
OsjChr1 3189214 21 YB5;YB6;
OsjChr1 3189217 19 YB2;YB4;
OsjChr1 3189280 17 YB2;YB4;YB5;YB6;
OsjChr1 3191799 5 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 3196471 1486 YB4;
OsjChr1 31974465 294 YB4;
OsjChr1 31974729 30 YB4;
OsjChr1 3197702 16 YB8;
OsjChr1 32032974 224 YB6;
OsjChr1 32072281 275 YB2;YB3;
OsjChr1 32082290 80 YB1;
OsjChr1 32083542 96 YB3;
OsjChr1 32084411 58 YB1;
OsjChr1 32084497 13 YB1;
OsjChr1 32154968 222 YB1;YB4;
OsjChr1 32182410 62 YB3;
OsjChr1 32182488 197 YB3;
OsjChr1 32182715 83 YB3;
OsjChr1 32260667 241 YB8;
OsjChr1 32260921 52 YB3;YB8;
OsjChr1 32280843 36 YB2;
OsjChr1 32288737 452 YB2;
OsjChr1 32376526 71 YB4;
OsjChr1 32376648 150 YB5;
OsjChr1 32391741 484 YB1;
OsjChr1 32392090 110 YB8;
OsjChr1 32392090 136 YB8;
OsjChr1 32392090 140 YB7;
OsjChr1 32392090 142 YB3;
OsjChr1 32392090 76 YB1;YB3;
OsjChr1 32392092 11 YB2;YB5;YB6;
OsjChr1 32392110 14 YB6;
OsjChr1 32392128 40 YB6;
OsjChr1 32398569 202 YB7;
OsjChr1 32400621 1091 YB2;YB5;YB7;YB8;
OsjChr1 32403367 4037 YB2;
OsjChr1 32458209 99 YB6;
OsjChr1 32458891 7 YB1;
OsjChr1 32458950 5 YB1;
OsjChr1 32489279 96 YB2;
OsjChr1 32493406 64 YB4;YB7;YB8;
OsjChr1 32494163 9 YB8;
OsjChr1 32511849 164 YB4;
OsjChr1 32526392 101 YB5;
OsjChr1 32526499 43 YB3;YB8;
OsjChr1 3254090 271 YB1;
OsjChr1 32612769 132 YB6;
OsjChr1 32612925 45 YB4;
OsjChr1 32726942 18 YB2;
OsjChr1 32729294 536 YB5;
OsjChr1 32729851 5 YB5;
OsjChr1 32729872 347 YB5;
OsjChr1 32735441 55 YB7;
OsjChr1 3278358 60 YB1;
OsjChr1 32821490 36 YB8;
OsjChr1 32821696 6 YB8;
OsjChr1 32944933 98 YB2;
OsjChr1 32945051 86 YB8;
OsjChr1 32998215 146 YB5;
OsjChr1 33003361 145 YB2;
OsjChr1 33048020 178 YB4;
OsjChr1 33065360 400 YB7;
OsjChr1 33065902 463 YB7;YB8;
OsjChr1 33066115 297 YB5;
OsjChr1 33066353 18 YB3;YB4;YB6;
OsjChr1 3307997 485 YB1;
OsjChr1 33109151 6 YB1;
OsjChr1 33109194 12 YB1;
OsjChr1 33109214 15 YB1;
OsjChr1 33109290 23 YB1;
OsjChr1 33129778 6 YB1;
OsjChr1 33129821 12 YB1;
OsjChr1 33129841 15 YB1;
OsjChr1 33129917 23 YB1;
OsjChr1 33147433 11 YB1;YB2;YB4;
OsjChr1 33162966 83 YB8;
OsjChr1 33175873 401 YB6;
OsjChr1 33178650 960 YB8;
OsjChr1 33197403 74 YB8;
OsjChr1 3320305 5 YB6;
OsjChr1 3323948 6 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 3332043 252 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 33349355 102 YB8;
OsjChr1 3336869 268 YB3;YB6;YB7;
OsjChr1 3339899 6 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 33452621 19 YB8;
OsjChr1 33458407 28 YB2;YB3;YB5;YB6;YB7;YB8;
OsjChr1 33458407 30 YB4;
OsjChr1 33459806 15 YB6;
OsjChr1 33461729 234 YB6;
OsjChr1 33474399 141 YB2;YB3;YB4;YB5;YB8;
OsjChr1 33486896 5 YB3;YB3;YB6;
OsjChr1 33506179 399 YB1;YB4;YB5;YB7;YB8;
OsjChr1 33506581 2749 YB1;YB4;YB5;YB7;YB8;
OsjChr1 33538171 392 YB3;
OsjChr1 33560105 4699 YB1;
OsjChr1 33564862 6 YB1;
OsjChr1 33567288 69 YB7;
OsjChr1 33574324 5 YB2;YB8;
OsjChr1 33574912 3179 YB2;YB3;YB4;YB5;YB6;YB8;
OsjChr1 33595637 177 YB6;
OsjChr1 3361427 22 YB2;YB5;YB6;YB7;
OsjChr1 3361620 18 YB2;YB3;YB4;YB5;YB6;YB7;
OsjChr1 33652906 1850 YB2;YB7;
OsjChr1 33661446 98 YB6;
OsjChr1 33697075 6 YB3;
OsjChr1 33697089 8 YB3;
OsjChr1 33699055 12 YB2;
OsjChr1 33699081 26 YB2;
OsjChr1 33699322 11 YB2;
OsjChr1 33704419 61 YB3;
OsjChr1 33709492 22 YB4;YB5;
OsjChr1 33772078 92 YB3;YB4;
OsjChr1 33904924 41 YB6;YB8;
OsjChr1 33943622 471 YB7;
OsjChr1 33968767 99 YB3;YB4;YB6;
OsjChr1 33978442 186 YB5;
OsjChr1 33979931 37 YB2;
OsjChr1 33990934 19 YB5;YB7;
OsjChr1 33990962 417 YB4;
OsjChr1 34007006 26 YB2;
OsjChr1 34085558 28 YB4;
OsjChr1 3415165 6 YB8;
OsjChr1 34177196 141 YB4;
OsjChr1 34191716 83 YB6;
OsjChr1 34195610 29 YB5;
OsjChr1 34244427 28 YB2;YB3;
OsjChr1 34267279 12 YB5;
OsjChr1 3432412 423 YB7;
OsjChr1 34335513 5 YB4;YB7;YB8;
OsjChr1 34340893 6 YB7;
OsjChr1 34364330 449 YB1;
OsjChr1 34364333 446 YB8;
OsjChr1 34364388 391 YB3;
OsjChr1 34420765 23 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 34421786 23 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 34427728 6 YB8;
OsjChr1 34427756 1758 YB8;
OsjChr1 34429525 38 YB8;
OsjChr1 34429626 13 YB8;
OsjChr1 34460600 383 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 34515213 7 YB2;YB3;YB4;YB4;YB5;YB6;YB6;YB7;YB8;
OsjChr1 34525546 11 YB3;YB4;YB8;
OsjChr1 34546063 39 YB7;
OsjChr1 34548973 6 YB6;
OsjChr1 34548973 8 YB8;
OsjChr1 34564133 66 YB5;
OsjChr1 3459914 326 YB4;
OsjChr1 34678392 5 YB6;
OsjChr1 34736253 221 YB8;
OsjChr1 34736269 220 YB6;
OsjChr1 34851175 7 YB8;
OsjChr1 34858713 144 YB7;
OsjChr1 34863114 6 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 34871479 71 YB2;YB3;YB6;
OsjChr1 34887980 44 YB4;
OsjChr1 34897149 406 YB8;
OsjChr1 34902175 179 YB6;
OsjChr1 34937883 99 YB3;YB7;
OsjChr1 34948856 436 YB6;
OsjChr1 35003555 278 YB2;
OsjChr1 35005388 55 YB6;
OsjChr1 35025370 88 YB5;
OsjChr1 35026519 33 YB2;YB7;
OsjChr1 35099467 31 YB5;
OsjChr1 35101089 83 YB3;
OsjChr1 35118292 9 YB1;YB2;
OsjChr1 35168429 227 YB6;
OsjChr1 35188276 86 YB2;
OsjChr1 35192162 124 YB6;
OsjChr1 35219328 27 YB1;
OsjChr1 35223752 47 YB1;
OsjChr1 35224837 429 YB8;
OsjChr1 35226987 11 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 35250797 10 YB3;YB8;
OsjChr1 35259855 21 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 35261413 5 YB6;
OsjChr1 35296629 191 YB4;YB6;
OsjChr1 35309924 11 YB3;
OsjChr1 35427354 11 YB3;
OsjChr1 35465712 1691 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 35467693 11 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 35469998 19 YB6;
OsjChr1 35471143 30 YB2;YB3;YB5;YB6;YB7;YB8;
OsjChr1 35489689 34 YB6;
OsjChr1 35509240 17 YB2;
OsjChr1 3551571 78 YB4;
OsjChr1 3551745 105 YB6;
OsjChr1 35525394 110 YB1;YB6;YB8;
OsjChr1 35582314 40 YB6;
OsjChr1 35587087 198 YB5;
OsjChr1 35598218 83 YB8;
OsjChr1 35653039 34 YB1;
OsjChr1 35699734 7 YB7;
OsjChr1 35752594 163 YB4;
OsjChr1 35760495 3580 YB2;
OsjChr1 35766179 7 YB4;
OsjChr1 35802320 231 YB5;
OsjChr1 35812791 355 YB1;
OsjChr1 35812967 179 YB8;
OsjChr1 35820172 405 YB7;
OsjChr1 35820594 64 YB5;
OsjChr1 35820599 60 YB6;
OsjChr1 35875196 105 YB3;
OsjChr1 35884555 405 YB7;
OsjChr1 35902969 8 YB4;
OsjChr1 35929113 22 YB5;
OsjChr1 35933416 32 YB8;
OsjChr1 35934115 7 YB3;
OsjChr1 35942011 16 YB8;
OsjChr1 35950768 33 YB6;
OsjChr1 36001296 5 YB7;
OsjChr1 36001312 21 YB7;
OsjChr1 36001382 22 YB7;
OsjChr1 36001419 7 YB7;
OsjChr1 36001544 13 YB7;
OsjChr1 3600974 105 YB1;
OsjChr1 36015024 145 YB6;
OsjChr1 36062732 167 YB3;
OsjChr1 36062733 166 YB5;
OsjChr1 36069722 634 YB7;
OsjChr1 36074471 631 YB4;
OsjChr1 36076930 6 YB6;
OsjChr1 36198685 76 YB8;
OsjChr1 36199300 403 YB3;
OsjChr1 36201754 10 YB1;
OsjChr1 36219984 259 YB5;
OsjChr1 36248118 61 YB1;
OsjChr1 36261633 63 YB8;
OsjChr1 36270388 5 YB8;
OsjChr1 36322091 7 YB6;
OsjChr1 36328146 27 YB6;
OsjChr1 36346643 268 YB5;
OsjChr1 36347756 69 YB2;
OsjChr1 36451604 355 YB3;
OsjChr1 36462068 5 YB1;
OsjChr1 36512302 22 YB5;YB7;
OsjChr1 36574758 57 YB2;
OsjChr1 3658337 77 YB7;
OsjChr1 36584128 57 YB2;
OsjChr1 36641258 228 YB5;
OsjChr1 36678849 53 YB2;
OsjChr1 36716147 468 YB1;
OsjChr1 3672310 35 YB7;
OsjChr1 36729258 1205 YB5;
OsjChr1 36742621 260 YB4;
OsjChr1 36771166 196 YB6;
OsjChr1 36783138 170 YB8;
OsjChr1 36792101 47 YB7;
OsjChr1 36812210 486 YB5;
OsjChr1 36830521 88 YB6;
OsjChr1 36833078 15 YB2;YB3;YB5;YB7;YB8;
OsjChr1 36838364 406 YB1;
OsjChr1 36883955 296 YB3;
OsjChr1 36887308 2249 YB2;YB7;
OsjChr1 36895114 182 YB8;
OsjChr1 36943848 199 YB6;
OsjChr1 36964218 30 YB3;
OsjChr1 37017181 97 YB7;
OsjChr1 37079373 7 YB6;
OsjChr1 37081842 20 YB2;YB3;
OsjChr1 37086951 8 YB8;
OsjChr1 37093780 148 YB3;
OsjChr1 37095549 7 YB8;
OsjChr1 37095652 178 YB3;
OsjChr1 37129878 71 YB2;
OsjChr1 37209666 21 YB4;
OsjChr1 37209763 15 YB4;
OsjChr1 37219883 19 YB4;
OsjChr1 37248362 24 YB4;
OsjChr1 37281611 105 YB8;
OsjChr1 37293075 7 YB2;YB4;YB5;
OsjChr1 37299634 14 YB1;
OsjChr1 37330502 99 YB4;
OsjChr1 37332834 16 YB3;
OsjChr1 3734583 232 YB4;
OsjChr1 37349339 45 YB5;
OsjChr1 37349343 42 YB4;
OsjChr1 37352422 22 YB6;
OsjChr1 37405829 185 YB6;
OsjChr1 37409238 71 YB6;
OsjChr1 37409355 139 YB7;
OsjChr1 37409943 67 YB2;YB4;
OsjChr1 37452402 243 YB6;
OsjChr1 37488667 151 YB5;YB8;
OsjChr1 37499445 303 YB7;
OsjChr1 37524007 97 YB3;
OsjChr1 37542151 45 YB2;
OsjChr1 3761486 36 YB4;
OsjChr1 37642628 126 YB5;
OsjChr1 37649233 256 YB6;
OsjChr1 37656517 6 YB7;
OsjChr1 37664177 274 YB3;
OsjChr1 37699009 76 YB2;
OsjChr1 37704026 86 YB5;
OsjChr1 37704125 7 YB5;
OsjChr1 37705187 21 YB8;
OsjChr1 37722402 76 YB7;
OsjChr1 37728052 235 YB8;
OsjChr1 37739737 5 YB4;YB6;
OsjChr1 37739778 61 YB4;YB6;
OsjChr1 3774245 18 YB5;
OsjChr1 37753241 7 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 3781556 36 YB6;
OsjChr1 37821601 6 YB5;
OsjChr1 37862239 65 YB6;
OsjChr1 37862288 17 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 37868058 256 YB8;
OsjChr1 37902760 69 YB1;
OsjChr1 37902825 6 YB4;
OsjChr1 37902825 8 YB7;
OsjChr1 37902827 6 YB5;
OsjChr1 37902829 5 YB2;
OsjChr1 37902841 5 YB5;
OsjChr1 3795685 6 YB5;
OsjChr1 37962558 9 YB4;
OsjChr1 37995556 144 YB2;
OsjChr1 38004206 28 YB6;
OsjChr1 38035206 7 YB6;YB7;YB8;
OsjChr1 38093985 13 YB1;
OsjChr1 38121241 407 YB8;
OsjChr1 38166626 5 YB8;
OsjChr1 38197978 6 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 38211040 39 YB4;
OsjChr1 38211277 300 YB6;
OsjChr1 38277866 178 YB4;
OsjChr1 38304558 14 YB3;
OsjChr1 38304581 16 YB3;
OsjChr1 38312241 93 YB6;
OsjChr1 38312368 6 YB6;
OsjChr1 38312386 7 YB6;
OsjChr1 38312409 27 YB6;
OsjChr1 38349918 18 YB1;
OsjChr1 38354083 4191 YB2;
OsjChr1 38357425 5 YB4;
OsjChr1 38371004 6 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 3837276 82 YB4;
OsjChr1 38396978 58 YB2;
OsjChr1 38401840 56 YB5;
OsjChr1 38409483 7 YB1;
OsjChr1 38416112 184 YB4;
OsjChr1 38416308 75 YB7;YB8;
OsjChr1 38424358 73 YB2;
OsjChr1 38442403 360 YB3;
OsjChr1 38450027 10 YB2;
OsjChr1 38531817 11 YB6;YB8;
OsjChr1 38533650 9 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 38544748 181 YB2;
OsjChr1 38554539 271 YB2;
OsjChr1 38564880 38 YB7;YB8;
OsjChr1 38577661 173 YB5;
OsjChr1 38578515 30 YB3;
OsjChr1 38613578 21 YB7;
OsjChr1 38616287 14 YB8;
OsjChr1 38616288 14 YB2;
OsjChr1 3863111 26 YB2;
OsjChr1 38663191 30 YB1;
OsjChr1 38667152 343 YB6;
OsjChr1 38668636 14 YB3;
OsjChr1 38690298 99 YB8;
OsjChr1 386923 245 YB1;
OsjChr1 38822388 40 YB7;
OsjChr1 3883722 375 YB8;
OsjChr1 38839950 154 YB3;YB4;
OsjChr1 38840312 100 YB6;
OsjChr1 38843519 168 YB8;
OsjChr1 38864048 203 YB8;
OsjChr1 38869214 24 YB3;
OsjChr1 38869568 9 YB6;
OsjChr1 38872960 13 YB1;
OsjChr1 38873818 259 YB5;
OsjChr1 38874448 19 YB6;
OsjChr1 38905193 214 YB3;
OsjChr1 38916180 6 YB1;YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 38916922 333 YB3;
OsjChr1 38986033 77 YB2;YB8;
OsjChr1 3900350 90 YB7;
OsjChr1 39035982 29 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 39048435 11 YB3;
OsjChr1 39059435 92 YB8;
OsjChr1 39061846 68 YB3;YB5;YB6;YB7;
OsjChr1 39079648 6 YB6;
OsjChr1 39141640 320 YB8;
OsjChr1 39142078 12 YB6;
OsjChr1 39142107 11 YB6;
OsjChr1 39142143 12 YB6;
OsjChr1 39142167 9 YB4;YB6;
OsjChr1 39142190 106 YB4;
OsjChr1 39142190 28 YB6;
OsjChr1 39142227 69 YB6;
OsjChr1 39177449 336 YB8;
OsjChr1 39177766 92 YB8;
OsjChr1 39179259 3684 YB6;YB7;
OsjChr1 39229331 203 YB4;YB5;
OsjChr1 39289382 324 YB5;YB7;
OsjChr1 39324746 268 YB5;
OsjChr1 3938355 188 YB7;
OsjChr1 39404681 2171 YB4;YB6;
OsjChr1 39409859 172 YB6;
OsjChr1 39460083 435 YB4;
OsjChr1 39467067 235 YB6;
OsjChr1 39470549 85 YB4;
OsjChr1 39507333 46 YB7;
OsjChr1 39517452 8 YB2;
OsjChr1 39519441 86 YB8;
OsjChr1 39519541 74 YB8;
OsjChr1 39608665 67 YB3;YB5;
OsjChr1 3964433 321 YB6;
OsjChr1 39720070 6 YB2;YB3;
OsjChr1 39762995 100 YB2;
OsjChr1 39763601 66 YB5;YB8;
OsjChr1 39793226 18 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 39819361 107 YB6;
OsjChr1 39824121 20 YB4;
OsjChr1 39824121 22 YB3;YB5;YB6;YB7;YB8;
OsjChr1 39824121 24 YB2;
OsjChr1 39837486 6 YB2;YB3;
OsjChr1 39858789 92 YB6;
OsjChr1 39884089 247 YB3;
OsjChr1 39897473 47 YB5;
OsjChr1 39899204 13 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 39955268 37 YB4;
OsjChr1 39986683 6 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 40073673 48 YB4;
OsjChr1 40073734 18 YB4;
OsjChr1 40083744 30 YB4;
OsjChr1 40090075 299 YB7;
OsjChr1 40098284 18 YB1;
OsjChr1 40124160 6 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 40129746 15 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 40138554 14 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 40138554 16 YB5;
OsjChr1 40219400 8 YB7;
OsjChr1 40220576 120 YB5;
OsjChr1 40230486 75 YB6;
OsjChr1 40252083 105 YB1;
OsjChr1 4025441 131 YB1;
OsjChr1 40301786 30 YB4;YB6;YB7;YB8;
OsjChr1 40301786 32 YB3;
OsjChr1 40301786 34 YB2;
OsjChr1 40317307 33 YB7;
OsjChr1 40340000 415 YB8;
OsjChr1 40354306 1555 YB3;
OsjChr1 40360509 42 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 40365570 374 YB7;
OsjChr1 40424009 347 YB3;
OsjChr1 40431241 18 YB3;YB5;YB6;YB7;
OsjChr1 40431261 17 YB4;
OsjChr1 40432639 11 YB2;YB3;YB4;YB4;YB5;YB6;YB7;YB8;
OsjChr1 40452303 323 YB6;
OsjChr1 40453117 24 YB7;
OsjChr1 40453125 16 YB2;YB3;YB4;YB6;YB7;
OsjChr1 40469712 5 YB2;YB3;YB4;YB6;YB7;YB8;
OsjChr1 40473146 318 YB5;
OsjChr1 40489992 11 YB2;YB3;YB4;YB6;YB7;YB8;
OsjChr1 40500770 10 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 40501244 250 YB7;
OsjChr1 40509238 24 YB3;
OsjChr1 40532547 72 YB3;YB4;
OsjChr1 40532625 710 YB3;YB4;
OsjChr1 40571333 30 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 40624054 266 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr1 40740055 299 YB6;
OsjChr1 40742694 68 YB2;
OsjChr1 40800854 12 YB7;
OsjChr1 40800983 22 YB7;
OsjChr1 40840127 167 YB7;
OsjChr1 40868173 5 YB6;
OsjChr1 40899652 44 YB5;
OsjChr1 40907202 111 YB2;YB3;YB4;YB8;
OsjChr1 40915923 238 YB8;
OsjChr1 40940450 62 YB1;
OsjChr1 41018886 106 YB2;YB3;YB5;
OsjChr1 41032550 4057 YB2;YB3;YB4;YB5;YB7;
OsjChr1 410521 32 YB3;
OsjChr1 41168762 104 YB6;YB8;
OsjChr1 41199760 71 YB7;
OsjChr1 4123470 115 YB5;
